Estación,Ciudad,Tipo de carga,Horario,Dirección,Estándar Cargador,Coordenadas
La Fe,El Retiro,Semi Rápida,12:00 pm a 11:59 pm,"Mall la Fé via las Palmas, km 28, Retiro, Antioquia","J1772- 7,4 Kw-h","6.09031580, -75.49305705"
La Fe,El Retiro,Semi Rápida,12:00 pm a 11:59 pm,"Mall la Fé via las Palmas, km 28, Retiro, Antioquia",Europeo- Mennekes 22 Kw-h,"6.09031580, -75.49305705"
MAMM Ciudad del Rio,Medellín,Semi Rápida,12:00 pm a 11:59 pm,Carrera 44 N° 19A-100,Europeo- Mennekes 22 Kw-h,"6.22400100,-75.57404400"
MAMM Ciudad del Rio,Medellín,Semi Rápida,12:00 pm a 11:59 pm,Carrera 44 N° 19A-100,"J1772- 7,4 Kw-h","6.22400100,-75.57404400"
Oviedo,Medellín,Semi Rápida,8:00 am a 10:00 pm,CR 43 A CL 6 Sur - 15 (Interior 5000),J1772- 11 Kw-h,"6.19907980,-75.57405890"
Oviedo,Medellín,Semi Rápida,8:00 am a 10:00 pm,CR 43 A CL 6 Sur - 15 (Interior 5000),Europeo- Mennekes 22 Kw-h,"6.19907980,-75.57405890"
Tesoro 2,Medellín,Semi Rápida,8:00 am a 10:00 pm,"Carrera 25 A # 1 A Sur – 45, Medellín, sotano 4 Plaza Palmas","J1772- 7,4 Kw-h","6.19669812,-75.55892548"
Tesoro 2,Medellín,Semi Rápida,8:00 am a 10:00 pm,"Carrera 25 A # 1 A Sur – 45, Medellín, sotano 4 Plaza Palmas",Europeo- Mennekes 22 Kw-h,"6.19669812,-75.55892548"
Nuestro Urabá,Aparatadó,Semi Rápida,8:00 am a 10:00 pm,Carrera 99 84 -18 Km 1 Vía Carepa,"J1772- 7,4 Kw-h","7.87401680,-76.63507450"
Nuestro Urabá,Aparatadó,Semi Rápida,8:00 am a 10:00 pm,Carrera 99 84 -18 Km 1 Vía Carepa,Europeo- Mennekes 22 Kw-h,"7.87401680,-76.63507450"
Caribe,Medellín,Información no disponible,24 horas,CR 64C # 72-226,Información no disponible,"6.27225, -75.57275"
El Bosque,Medellín,Información no disponible,24 horas,CR 52 # 78-20,Información no disponible,"6.27346, -75.56461"
